Enfermedad,Poblacion,Radio,Prob_Inf,Prob_Inm,Tiempo_Muerte,Sanos,Infectados,Inmunes,Muertos,Dias
Personalizada,150,30,0.0500,0.0020,450,0,0,26,124,32
Personalizada,150,30,0.0500,0.0020,450,0,0,29,121,37
Peste Negra,150,25,0.1500,0.0010,300,0,0,10,140,13
Peste Negra,150,25,0.1500,0.0010,300,0,0,5,145,18
Viruela,150,35,0.3000,0.0030,600,0,0,10,140,122
Gripe Española,150,50,0.4000,0.0080,450,0,0,18,132,163
Personalizada,150,30,0.0500,0.0020,450,0,0,25,125,32
Peste Negra,150,25,0.1500,0.0010,300,0,0,9,141,13
Personalizada,500,19,0.1035,0.0060,460,0,0,82,418,120
Personalizada,500,30,0.0500,0.0020,450,0,0,30,470,47
Personalizada,500,64,0.4510,0.0021,510,0,0,2,498,54
Personalizada,150,32,0.1360,0.0020,450,0,0,20,130,50
Personalizada,150,30,0.0500,0.0020,450,0,0,24,126,34
Personalizada,500,30,0.1900,0.0020,450,0,0,13,487,41
Personalizada,150,30,0.0500,0.0020,450,134,15,1,0,1
Peste Negra,500,25,0.1500,0.0010,300,0,0,22,478,19
Personalizada,500,40,0.3000,0.0150,321,0,126,74,300,150
